arquivo,conjunto
LA_E_1000048,validacao
LA_E_1000166,treino
LA_E_1000174,treino
LA_E_1000200,teste
LA_E_1000345,treino
LA_E_1000349,treino
LA_E_1000381,treino
LA_E_1000450,teste
LA_E_1000479,treino
LA_E_1000580,treino
LA_E_1000624,treino
LA_E_1000636,treino
LA_E_1000657,treino
LA_E_1000795,teste
LA_E_1000854,treino
LA_E_1000931,treino
LA_E_1000986,treino
LA_E_1000993,treino
LA_E_1001118,teste
LA_E_1001135,treino
LA_E_1001199,treino
LA_E_1001212,treino
LA_E_1001250,treino
LA_E_1001383,treino
LA_E_1001407,treino
LA_E_1001434,treino
LA_E_1001516,treino
LA_E_1001548,treino
LA_E_1001641,treino
LA_E_1001660,treino
LA_E_1001704,teste
LA_E_1001756,validacao
LA_E_1001804,teste
LA_E_1001842,validacao
LA_E_1001928,treino
LA_E_1002094,treino
LA_E_1002159,treino
LA_E_1002161,teste
LA_E_1002191,treino
LA_E_1002226,treino
LA_E_1002251,teste
LA_E_1002260,treino
LA_E_1002323,teste
LA_E_1002362,treino
LA_E_1002427,treino
LA_E_1002649,treino
LA_E_1002735,treino
LA_E_1002743,treino
LA_E_1002886,treino
LA_E_1002895,treino
LA_E_1003037,treino
LA_E_1003063,validacao
LA_E_1003085,treino
LA_E_1003103,treino
LA_E_1003152,treino
LA_E_1003289,treino
LA_E_1003335,treino
LA_E_1003360,teste
LA_E_1003509,treino
LA_E_1003528,treino
LA_E_1003624,teste
LA_E_1003634,treino
LA_E_1003648,teste
LA_E_1003658,treino
LA_E_1003702,treino
LA_E_1003722,teste
LA_E_1003731,validacao
LA_E_1003744,teste
LA_E_1003757,treino
LA_E_1003795,treino
LA_E_1003796,treino
LA_E_1003805,treino
LA_E_1003840,treino
LA_E_1003877,validacao
LA_E_1003959,treino
LA_E_1003961,teste
LA_E_1004043,validacao
LA_E_1004084,validacao
LA_E_1004209,validacao
LA_E_1004222,treino
LA_E_1004329,treino
LA_E_1004507,treino
LA_E_1004510,teste
LA_E_1004588,treino
LA_E_1004632,treino
LA_E_1004689,validacao
LA_E_1004844,treino
LA_E_1004952,validacao
LA_E_1005007,treino
LA_E_1005176,treino
LA_E_1005343,treino
LA_E_1005523,treino
LA_E_1005537,teste
LA_E_1005577,treino
LA_E_1005671,treino
LA_E_1005777,teste
LA_E_1005780,treino
