arquivo,particao_interna
LA_E_1004222,treino_interno
LA_E_1007597,treino_interno
LA_E_1007709,treino_interno
LA_E_1007969,treino_interno
LA_E_1008441,treino_interno
LA_E_1008780,treino_interno
LA_E_1008951,treino_interno
LA_E_1009420,treino_interno
LA_E_1010526,treino_interno
LA_E_1010695,treino_interno
LA_E_1011092,treino_interno
LA_E_1011419,treino_interno
LA_E_1011791,treino_interno
LA_E_1012584,treino_interno
LA_E_1013559,treino_interno
LA_E_1013759,treino_interno
LA_E_1013933,treino_interno
LA_E_1013975,treino_interno
LA_E_1014509,treino_interno
LA_E_1014946,treino_interno
LA_E_1015732,treino_interno
LA_E_1015815,treino_interno
LA_E_1016141,treino_interno
LA_E_1016303,treino_interno
LA_E_1017023,treino_interno
LA_E_1017127,treino_interno
LA_E_1017221,treino_interno
LA_E_1017300,treino_interno
LA_E_1017441,treino_interno
LA_E_1017599,treino_interno
LA_E_1017648,treino_interno
LA_E_1017688,treino_interno
LA_E_1017924,treino_interno
LA_E_1018583,treino_interno
LA_E_1018744,treino_interno
LA_E_1019173,treino_interno
LA_E_1019554,treino_interno
LA_E_1019682,treino_interno
LA_E_1020265,treino_interno
LA_E_1020284,treino_interno
LA_E_1020564,treino_interno
LA_E_1020757,treino_interno
LA_E_1020965,treino_interno
LA_E_1021072,treino_interno
LA_E_1021095,treino_interno
LA_E_1021824,treino_interno
LA_E_1022057,treino_interno
LA_E_1022068,treino_interno
LA_E_1022069,treino_interno
LA_E_1022216,treino_interno
LA_E_1022414,treino_interno
LA_E_1022616,treino_interno
LA_E_1022713,treino_interno
LA_E_1022945,treino_interno
LA_E_1023566,treino_interno
LA_E_1023789,treino_interno
LA_E_1024089,treino_interno
LA_E_1024893,treino_interno
LA_E_1025312,treino_interno
LA_E_1026241,treino_interno
LA_E_1026428,treino_interno
LA_E_1026801,treino_interno
LA_E_1026853,treino_interno
LA_E_1026957,treino_interno
LA_E_1027054,treino_interno
LA_E_1027320,treino_interno
LA_E_1027442,treino_interno
LA_E_1027595,treino_interno
LA_E_1027709,treino_interno
LA_E_1027840,treino_interno
LA_E_1027872,treino_interno
LA_E_1028148,treino_interno
LA_E_1028164,treino_interno
LA_E_1028170,treino_interno
LA_E_1028201,treino_interno
LA_E_1028591,treino_interno
LA_E_1028611,treino_interno
LA_E_1028666,treino_interno
LA_E_1028818,treino_interno
LA_E_1028882,treino_interno
LA_E_1028907,treino_interno
LA_E_1028945,treino_interno
LA_E_1029038,treino_interno
LA_E_1029431,treino_interno
LA_E_1029476,treino_interno
LA_E_1029549,treino_interno
LA_E_1029550,treino_interno
LA_E_1029696,treino_interno
LA_E_1029740,treino_interno
LA_E_1030072,treino_interno
LA_E_1030276,treino_interno
LA_E_1030370,treino_interno
LA_E_1031271,treino_interno
LA_E_1031642,treino_interno
LA_E_1031902,treino_interno
LA_E_1032157,treino_interno
LA_E_1032202,treino_interno
LA_E_1032299,treino_interno
LA_E_1032300,treino_interno
LA_E_1032320,treino_interno
LA_E_1032337,treino_interno
LA_E_1032876,treino_interno
LA_E_1033028,treino_interno
LA_E_1033069,treino_interno
LA_E_1033304,treino_interno
LA_E_1033392,treino_interno
LA_E_1033444,treino_interno
LA_E_1033448,treino_interno
LA_E_1033499,treino_interno
LA_E_1033674,treino_interno
LA_E_1033913,treino_interno
LA_E_1034241,treino_interno
LA_E_1034467,treino_interno
LA_E_1034623,treino_interno
LA_E_1034688,treino_interno
LA_E_1035340,treino_interno
LA_E_1035372,treino_interno
LA_E_1035397,treino_interno
LA_E_1035420,treino_interno
LA_E_1035673,treino_interno
LA_E_1035776,treino_interno
LA_E_1035806,treino_interno
LA_E_1036080,treino_interno
LA_E_1037150,treino_interno
LA_E_1037364,treino_interno
LA_E_1038001,treino_interno
LA_E_1038175,treino_interno
LA_E_1038483,treino_interno
LA_E_1038754,treino_interno
LA_E_1039594,treino_interno
LA_E_1039645,treino_interno
LA_E_1039928,treino_interno
LA_E_1040053,treino_interno
LA_E_1040070,treino_interno
LA_E_1041023,treino_interno
LA_E_1041460,treino_interno
LA_E_1041859,treino_interno
LA_E_1042101,treino_interno
LA_E_1042326,treino_interno
LA_E_1042584,treino_interno
LA_E_1042805,early_stopping
LA_E_1042860,treino_interno
LA_E_1043329,treino_interno
LA_E_1043528,treino_interno
LA_E_1043665,treino_interno
LA_E_1043772,treino_interno
LA_E_1043803,treino_interno
LA_E_1044468,treino_interno
LA_E_1044816,treino_interno
LA_E_1044957,treino_interno
LA_E_1044998,treino_interno
LA_E_1045222,treino_interno
LA_E_1045414,treino_interno
LA_E_1045533,treino_interno
LA_E_1045783,treino_interno
LA_E_1045940,treino_interno
LA_E_1046465,treino_interno
LA_E_1047554,treino_interno
LA_E_1047823,treino_interno
