arquivo,classe_binaria,codec,ataque
LA_E_1004222,1,ulaw,A18
LA_E_1007597,1,opus,A13
LA_E_1007709,1,g722,A07
LA_E_1007969,1,ulaw,A16
LA_E_1008441,1,ulaw,A09
LA_E_1008780,1,ulaw,A18
LA_E_1008951,1,alaw,A17
LA_E_1009420,1,opus,A07
LA_E_1010526,1,opus,A18
LA_E_1010695,1,opus,A14
LA_E_1011092,1,ulaw,A12
LA_E_1011419,1,none,A14
LA_E_1011791,1,alaw,A10
LA_E_1012584,1,opus,A19
LA_E_1013559,1,g722,A16
LA_E_1013759,1,ulaw,A15
LA_E_1013933,1,opus,A10
LA_E_1013975,1,opus,A13
LA_E_1014509,1,opus,A07
LA_E_1014946,1,pstn,A09
LA_E_1015732,1,gsm,A07
LA_E_1015815,1,alaw,A11
LA_E_1016141,1,alaw,A14
LA_E_1016303,1,ulaw,A13
LA_E_1017023,1,opus,A08
LA_E_1017127,1,gsm,A16
LA_E_1017221,1,pstn,A08
LA_E_1017300,1,gsm,A08
LA_E_1017441,1,opus,A14
LA_E_1017599,1,ulaw,A13
LA_E_1017648,1,none,A19
LA_E_1017688,1,opus,A18
LA_E_1017924,1,opus,A17
LA_E_1018583,1,opus,A08
LA_E_1018744,1,gsm,A13
LA_E_1019173,1,g722,A08
LA_E_1019554,1,ulaw,A18
LA_E_1019682,1,ulaw,A12
LA_E_1020265,1,opus,A19
LA_E_1020284,1,none,A11
LA_E_1020564,1,gsm,A13
LA_E_1020757,1,pstn,A19
LA_E_1020965,1,alaw,A07
LA_E_1021072,1,gsm,A16
LA_E_1021095,1,none,A12
LA_E_1021824,1,none,A17
LA_E_1022057,1,opus,A09
LA_E_1022068,1,opus,A09
LA_E_1022069,1,none,A09
LA_E_1022216,1,alaw,A15
LA_E_1022414,1,opus,A17
LA_E_1022616,1,opus,A10
LA_E_1022713,1,gsm,A10
LA_E_1022945,1,g722,A10
LA_E_1023566,1,gsm,A10
LA_E_1023789,1,ulaw,A11
LA_E_1024089,1,gsm,A08
LA_E_1024893,1,opus,A13
LA_E_1025312,1,opus,A15
LA_E_1026241,1,gsm,A17
LA_E_1026428,1,pstn,A10
LA_E_1026801,1,ulaw,A15
LA_E_1026853,1,gsm,A14
LA_E_1026957,1,g722,A07
LA_E_1027054,1,none,A18
LA_E_1027320,1,alaw,A18
LA_E_1027442,1,gsm,A11
LA_E_1027595,1,alaw,A19
LA_E_1027709,1,gsm,A17
LA_E_1027840,1,none,A15
LA_E_1027872,1,gsm,A14
LA_E_1028148,1,gsm,A11
LA_E_1028164,1,gsm,A19
LA_E_1028170,1,g722,A18
LA_E_1028201,1,opus,A14
LA_E_1028591,1,g722,A15
LA_E_1028611,1,gsm,A15
LA_E_1028666,1,gsm,A18
LA_E_1028818,1,alaw,A08
LA_E_1028882,1,g722,A09
LA_E_1028907,1,none,A12
LA_E_1028945,1,ulaw,A13
LA_E_1029038,1,opus,A12
LA_E_1029431,1,alaw,A17
LA_E_1029476,1,none,A13
LA_E_1029549,1,opus,A15
LA_E_1029550,1,pstn,A13
LA_E_1029696,1,opus,A16
LA_E_1029740,1,ulaw,A16
LA_E_1030072,1,none,A17
LA_E_1030276,1,none,A19
LA_E_1030370,1,pstn,A15
LA_E_1031271,1,opus,A16
LA_E_1031642,1,ulaw,A19
LA_E_1031902,1,alaw,A13
LA_E_1032157,1,opus,A12
LA_E_1032202,1,opus,A10
LA_E_1032299,1,alaw,A15
LA_E_1032300,1,none,A09
LA_E_1032320,1,g722,A14
LA_E_1032337,1,none,A10
LA_E_1032876,1,gsm,A09
LA_E_1033028,1,g722,A17
LA_E_1033069,1,ulaw,A09
LA_E_1033304,1,g722,A12
LA_E_1033392,1,none,A16
LA_E_1033444,1,gsm,A09
LA_E_1033448,1,pstn,A09
LA_E_1033499,1,pstn,A12
LA_E_1033674,1,g722,A19
LA_E_1033913,1,ulaw,A10
