arquivo,classe_binaria,codec,ataque
LA_E_1000048,1,opus,A08
LA_E_1000166,1,opus,A12
LA_E_1000174,1,g722,A08
LA_E_1000345,1,opus,A19
LA_E_1000624,1,ulaw,A13
LA_E_1000636,1,g722,A11
LA_E_1000795,1,ulaw,A11
LA_E_1000854,1,g722,A15
LA_E_1000931,1,opus,A18
LA_E_1000993,1,alaw,A15
LA_E_1001118,0,alaw,bonafide
LA_E_1001250,1,alaw,A17
LA_E_1001407,1,gsm,A12
LA_E_1001641,0,opus,bonafide
LA_E_1001660,1,gsm,A17
LA_E_1001804,1,g722,A10
LA_E_1001842,1,ulaw,A19
LA_E_1001928,1,gsm,A10
LA_E_1002159,1,alaw,A14
LA_E_1002161,1,ulaw,A18
LA_E_1002191,0,pstn,bonafide
LA_E_1002427,1,alaw,A10
LA_E_1002743,1,ulaw,A15
LA_E_1002895,1,ulaw,A16
LA_E_1003037,0,ulaw,bonafide
LA_E_1003103,1,pstn,A11
LA_E_1003528,1,pstn,A13
LA_E_1003624,1,pstn,A15
LA_E_1003634,1,opus,A07
LA_E_1003722,1,g722,A17
LA_E_1003795,1,none,A14
LA_E_1003961,1,opus,A09
LA_E_1004043,1,opus,A13
LA_E_1004209,1,ulaw,A12
LA_E_1004329,1,none,A16
LA_E_1004632,0,none,bonafide
LA_E_1004689,1,alaw,A18
LA_E_1004844,1,gsm,A07
LA_E_1004952,1,alaw,A12
LA_E_1005007,1,g722,A16
LA_E_1005176,1,pstn,A16
LA_E_1005780,1,g722,A07
LA_E_1005805,1,gsm,A18
LA_E_1005828,1,gsm,A16
LA_E_1005966,1,ulaw,A08
LA_E_1006073,1,ulaw,A07
LA_E_1006344,1,ulaw,A17
LA_E_1006404,1,none,A12
LA_E_1006487,1,gsm,A19
LA_E_1006521,1,ulaw,A09
LA_E_1006663,1,alaw,A13
LA_E_1006688,1,opus,A16
LA_E_1007006,1,g722,A14
LA_E_1007081,1,alaw,A11
LA_E_1007270,1,pstn,A08
LA_E_1007383,1,opus,A14
LA_E_1007537,1,none,A09
LA_E_1007790,1,g722,A18
LA_E_1007828,1,gsm,A14
LA_E_1007928,1,g722,A09
LA_E_1007943,1,alaw,A08
LA_E_1008159,1,gsm,A08
LA_E_1008300,1,alaw,A09
LA_E_1008419,1,none,A13
LA_E_1008458,0,g722,bonafide
LA_E_1008642,1,pstn,A09
LA_E_1008780,1,ulaw,A18
LA_E_1008914,1,ulaw,A18
LA_E_1009173,1,opus,A17
LA_E_1009470,1,opus,A10
LA_E_1010072,1,ulaw,A14
LA_E_1010450,1,none,A15
LA_E_1010473,1,none,A11
LA_E_1010485,1,alaw,A07
LA_E_1010878,1,gsm,A13
LA_E_1011071,1,alaw,A19
LA_E_1012689,1,none,A19
LA_E_1012775,0,opus,bonafide
LA_E_1012995,1,gsm,A09
LA_E_1013415,1,alaw,A16
LA_E_1013469,1,ulaw,A18
LA_E_1013500,1,g722,A19
LA_E_1013742,1,pstn,A19
LA_E_1013754,1,gsm,A11
LA_E_1013966,0,opus,bonafide
LA_E_1013975,1,opus,A13
LA_E_1014133,1,pstn,A14
LA_E_1014509,1,opus,A07
LA_E_1015064,1,opus,A15
LA_E_1015065,1,alaw,A17
LA_E_1015089,1,none,A10
LA_E_1016011,1,pstn,A10
LA_E_1016035,0,opus,bonafide
LA_E_1016273,1,alaw,A10
LA_E_1017441,1,opus,A14
LA_E_1017503,0,opus,bonafide
LA_E_1017599,1,ulaw,A13
LA_E_1017688,1,opus,A18
LA_E_1018008,1,opus,A13
LA_E_1018027,1,none,A19
LA_E_1018583,1,opus,A08
LA_E_1018792,1,pstn,A07
LA_E_1019124,1,ulaw,A13
LA_E_1019167,1,opus,A18
LA_E_1019503,1,opus,A14
LA_E_1019682,1,ulaw,A12
LA_E_1020073,1,none,A18
LA_E_1020123,1,ulaw,A10
LA_E_1020265,1,opus,A19
LA_E_1020564,1,gsm,A13
LA_E_1020912,1,none,A17
LA_E_1021072,1,gsm,A16
LA_E_1021339,1,pstn,A12
LA_E_1021536,1,opus,A14
LA_E_1021552,1,none,A12
LA_E_1022068,1,opus,A09
LA_E_1022101,1,none,A17
LA_E_1022414,1,opus,A17
LA_E_1022509,1,opus,A17
LA_E_1022522,1,opus,A08
LA_E_1022541,1,g722,A08
LA_E_1022606,1,g722,A07
LA_E_1022616,1,opus,A10
LA_E_1022966,1,g722,A12
LA_E_1023237,1,alaw,A17
LA_E_1023566,1,gsm,A10
LA_E_1023606,1,pstn,A18
LA_E_1023951,1,gsm,A15
LA_E_1024089,1,gsm,A08
LA_E_1024481,0,pstn,bonafide
LA_E_1024513,1,alaw,A14
LA_E_1024873,1,pstn,A08
LA_E_1024893,1,opus,A13
LA_E_1025418,0,gsm,bonafide
LA_E_1025657,1,none,A19
LA_E_1025682,1,g722,A07
LA_E_1025702,1,alaw,A15
LA_E_1026177,1,pstn,A08
LA_E_1026451,1,gsm,A16
LA_E_1026512,1,none,A17
LA_E_1026668,0,g722,bonafide
LA_E_1026801,1,ulaw,A15
LA_E_1027200,1,none,A09
LA_E_1027203,1,ulaw,A13
LA_E_1027283,0,opus,bonafide
LA_E_1027473,0,opus,bonafide
LA_E_1027709,1,gsm,A17
LA_E_1027791,1,g722,A16
LA_E_1027872,1,gsm,A14
LA_E_1027951,1,alaw,A18
LA_E_1028148,1,gsm,A11
LA_E_1028287,1,g722,A08
LA_E_1028427,1,none,A18
LA_E_1028459,1,none,A14
LA_E_1028587,1,none,A12
LA_E_1028891,1,opus,A09
LA_E_1029058,1,gsm,A10
LA_E_1029131,0,alaw,bonafide
LA_E_1029160,1,opus,A07
LA_E_1029339,1,gsm,A17
LA_E_1029549,1,opus,A15
LA_E_1029740,1,ulaw,A16
LA_E_1029876,1,none,A11
LA_E_1029970,1,gsm,A11
LA_E_1030139,1,none,A09
LA_E_1030215,1,gsm,A11
LA_E_1030368,1,g722,A18
LA_E_1030436,1,alaw,A07
LA_E_1030454,0,pstn,bonafide
LA_E_1030807,1,opus,A09
LA_E_1030830,1,alaw,A15
LA_E_1030855,1,alaw,A08
LA_E_1030879,1,pstn,A13
LA_E_1030981,1,g722,A10
LA_E_1031014,0,opus,bonafide
LA_E_1031054,1,pstn,A09
LA_E_1031129,1,alaw,A08
LA_E_1031271,1,opus,A16
LA_E_1031313,1,opus,A10
LA_E_1031364,1,pstn,A17
LA_E_1031558,1,ulaw,A13
LA_E_1031698,1,none,A14
LA_E_1031747,1,opus,A07
LA_E_1031807,1,gsm,A17
LA_E_1031892,1,pstn,A09
LA_E_1032157,1,opus,A12
LA_E_1032202,1,opus,A10
LA_E_1032349,1,none,A15
LA_E_1032638,1,alaw,A11
LA_E_1032839,1,opus,A17
LA_E_1032994,1,opus,A13
LA_E_1033069,1,ulaw,A09
LA_E_1033231,1,none,A11
LA_E_1033255,1,none,A08
LA_E_1033444,1,gsm,A09
LA_E_1033618,1,none,A15
LA_E_1033756,1,alaw,A13
LA_E_1034017,1,alaw,A18
LA_E_1034241,1,gsm,A15
LA_E_1034517,1,ulaw,A15
LA_E_1034623,1,gsm,A10
LA_E_1034816,1,opus,A16
LA_E_1034844,1,opus,A19
LA_E_1035111,1,g722,A14
LA_E_1035122,1,g722,A13
LA_E_1035340,1,opus,A19
LA_E_1035791,1,ulaw,A12
LA_E_1036084,0,gsm,bonafide
LA_E_1036564,0,ulaw,bonafide
LA_E_1036605,1,g722,A17
LA_E_1036713,1,none,A10
LA_E_1036753,1,gsm,A11
LA_E_1036755,1,g722,A17
LA_E_1036899,0,opus,bonafide
LA_E_1036988,1,none,A07
LA_E_1037069,1,none,A13
LA_E_1037202,1,alaw,A10
LA_E_1037364,1,gsm,A16
LA_E_1037380,1,opus,A15
LA_E_1037438,1,none,A13
LA_E_1037492,1,g722,A19
LA_E_1037988,1,opus,A15
LA_E_1038394,1,opus,A16
LA_E_1038461,1,none,A10
LA_E_1038483,1,gsm,A19
LA_E_1038687,1,opus,A10
LA_E_1038882,1,g722,A09
LA_E_1038940,0,none,bonafide
LA_E_1039199,1,gsm,A15
LA_E_1039472,1,ulaw,A12
LA_E_1039475,1,g722,A18
LA_E_1039594,1,gsm,A07
LA_E_1039624,1,ulaw,A09
LA_E_1039684,1,opus,A19
LA_E_1039695,0,none,bonafide
LA_E_1039928,1,ulaw,A11
LA_E_1039970,1,alaw,A19
LA_E_1040053,1,ulaw,A10
LA_E_1040070,1,opus,A16
LA_E_1040097,1,none,A18
