feature,delta_relativo_pct,assimetria_bona_menos_spoof,assimetria_padronizada
mfcc1_media,29.86,14.524859,0.2334
mfcc2_media,45.27,1.564205,0.0494
mfcc3_media,46.86,-0.434123,-0.0351
mfcc4_media,43.88,1.5209,0.1317
mfcc5_media,45.81,-2.603287,-0.4279
mfcc6_media,45.84,-1.208453,-0.1763
mfcc7_media,45.47,-1.620086,-0.2631
mfcc8_media,45.5,-1.247258,-0.2122
mfcc9_media,46.85,-1.474083,-0.3875
mfcc10_media,46.27,-0.527665,-0.1431
mfcc11_media,45.58,-0.454439,-0.1161
mfcc12_media,45.48,-0.366453,-0.1045
mfcc13_media,44.6,-0.273226,-0.1264
mfcc14_media,47.03,-0.526673,-0.161
mfcc15_media,43.58,-0.798077,-0.2526
mfcc16_media,46.23,-0.357017,-0.1043
mfcc17_media,46.23,-0.441338,-0.1625
mfcc18_media,43.37,-0.136902,-0.0701
mfcc19_media,45.36,-0.336963,-0.1333
mfcc20_media,45.87,-0.579316,-0.2987
mfcc1_std,30.74,-10.860369,-0.4657
mfcc2_std,24.36,-0.405147,-0.0263
mfcc3_std,19.97,1.088666,0.1884
mfcc4_std,14.89,0.139937,0.0226
mfcc5_std,23.49,0.376504,0.1111
mfcc6_std,19.34,-0.022972,-0.008
mfcc7_std,19.48,0.35251,0.1323
mfcc8_std,13.33,-0.768605,-0.3007
mfcc9_std,22.97,-0.149062,-0.0773
mfcc10_std,22.54,-0.13681,-0.08
mfcc11_std,14.77,-0.139644,-0.0764
mfcc12_std,20.68,-0.039467,-0.0235
mfcc13_std,21.75,-0.178333,-0.1316
mfcc14_std,19.2,-0.308256,-0.2376
mfcc15_std,21.1,-0.059545,-0.0412
mfcc16_std,14.26,-0.248366,-0.1685
mfcc17_std,20.09,-0.226353,-0.2058
mfcc18_std,20.72,-0.094539,-0.0883
mfcc19_std,12.09,-0.249761,-0.2238
mfcc20_std,22.78,-0.107215,-0.1036
zcr_media,44.57,0.003536,0.12
zcr_std,11.75,0.004637,0.2895
centroide_media,44.04,28.277393,0.0925
centroide_std,12.87,48.974828,0.4447
