epoca,loss_treino,tempo_s
1,0.5257379062652587,25.15
2,0.4417816299438477,24.03
3,0.40133353160222374,24.09
4,0.3590446357568105,23.71
5,0.32082066491444905,22.96
6,0.2884613446712494,22.94
7,0.27212693961461387,23.02
8,0.25422692718505857,23.43
9,0.21886749401887257,23.28
10,0.20613212411403656,23.29
11,0.18300421050389606,23.35
12,0.1698537537018458,22.79
13,0.15376741671562194,22.96
14,0.14468956314722697,23.3
15,0.1338676343838374,23.04
16,0.1237219381014506,24.63
17,0.11246777366399766,24.96
18,0.08860739697615305,24.7
19,0.08149809991518657,24.63
20,0.09265918636520704,24.82
21,0.07704365298946698,24.77
22,0.06748291717767715,24.57
23,0.05868107719918092,24.91
24,0.060463046725591024,24.68
25,0.038926462175448734,24.72
26,0.05788892399519682,24.83
27,0.03711054509480794,24.47
28,0.034471214202046394,24.73
29,0.03538113455176353,24.3
30,0.04209753503700098,24.47
31,0.0338486139635245,23.78
32,0.025755658667286237,23.63
33,0.033700685972968734,23.87
34,0.03846525980234146,23.94
35,0.052554998512069385,23.84
36,0.028443269101778666,23.46
37,0.013622655656933784,23.47
