epoca,loss_treino,loss_early_stopping,f1_macro_early_stopping,eer_early_stopping,recall_bonafide_early_stopping,recall_spoof_early_stopping,limiar_epoca,tempo_s
1,0.5551383207639058,0.7187949347496033,0.6796085858585859,0.2261111111111111,0.5233333333333333,0.9025925925925926,0.7048527598381042,25.39
2,0.48540918831472046,0.5224120008150737,0.6949129443636844,0.20925925925925926,0.57,0.9018518518518519,0.43243077397346497,23.09
3,0.44869117065712255,0.5702195582389832,0.7087647031449406,0.20370370370370372,0.4766666666666667,0.9414814814814815,0.06400404125452042,23.79
4,0.4131820388458393,0.4060718603134155,0.7746728516321681,0.15000000000000002,0.7033333333333334,0.9296296296296296,0.1845676600933075,23.18
5,0.39730149075720045,0.39793697794278465,0.7648037920865522,0.14981481481481485,0.63,0.94,0.17309582233428955,23.21
6,0.36184197938883744,0.5435591103235881,0.7911765115340174,0.14037037037037037,0.69,0.9437037037037037,0.708845853805542,23.38
7,0.3457808625256574,0.47105180501937866,0.8039333253387697,0.12814814814814818,0.67,0.955925925925926,0.6008853316307068,23.24
8,0.3228484111626943,0.5490617939631144,0.7901395348837209,0.1325925925925926,0.65,0.9518518518518518,0.6811355948448181,23.23
9,0.29065140949355234,0.3050903997421265,0.8168888290974861,0.1164814814814815,0.6633333333333333,0.9648148148148148,0.1781042069196701,23.15
10,0.28623223862824615,0.301662917137146,0.8407407407407408,0.11018518518518516,0.7133333333333334,0.9681481481481482,0.09508023411035538,23.41
11,0.2736594378683302,0.7247537542978922,0.8233161258603736,0.11222222222222225,0.6533333333333333,0.9703703703703703,0.8017276525497437,22.86
12,0.2588533789670026,0.3211187976201375,0.8533109361708202,0.10592592592592592,0.75,0.9681481481481482,0.10280518978834152,23.05
13,0.24472945658807402,0.2634982112248739,0.866784269594574,0.10759259259259263,0.7733333333333333,0.9711111111111111,0.09310347586870193,23.11
14,0.22952490321795146,0.24399746592839558,0.868270875053865,0.1,0.78,0.9707407407407408,0.2126932591199875,23.45
15,0.22136301763852437,0.2521719536781311,0.8714866467845928,0.09870370370370368,0.77,0.9740740740740741,0.11448739469051361,23.19
16,0.21249228398446685,0.6938019186655681,0.8518518518518519,0.10222222222222224,0.7333333333333333,0.9703703703703703,0.8439255356788635,22.88
17,0.18738884635324832,0.216204891204834,0.8817485703208296,0.09333333333333335,0.7466666666666667,0.9829629629629629,0.10613078624010086,23.23
18,0.17805498743498765,0.22036415282885233,0.8679590426048989,0.09685185185185186,0.74,0.9774074074074074,0.14102678000926971,23.17
19,0.16053023419556794,0.9281918667157492,0.8840200491902268,0.09592592592592591,0.7966666666666666,0.975925925925926,0.0034101740457117558,23.02
20,0.1610504305936672,0.20825881385803222,0.8863630718483451,0.07259259259259258,0.79,0.9781481481481481,0.2547255754470825,22.97
21,0.15722447711450083,0.23330784447987873,0.8799743945375014,0.08203703703703705,0.8433333333333334,0.9662962962962963,0.10154253989458084,22.99
22,0.14412356957682856,0.3198073291778564,0.8771007174368519,0.07611111111111113,0.7266666666666667,0.9840740740740741,0.36699098348617554,22.6
23,0.13098598169618184,0.20039470402399698,0.8902746132629812,0.07259259259259258,0.83,0.9737037037037037,0.2750625014305115,22.66
24,0.12371767551810653,0.3422588183879852,0.8848438395788009,0.0775925925925926,0.79,0.9774074074074074,0.015618057921528816,22.96
25,0.11981547356755645,0.22207134675979615,0.8873401474592293,0.07129629629629627,0.8533333333333334,0.9685185185185186,0.07985082268714905,23.08
26,0.11301287617065288,0.46451640288035073,0.8901999206060964,0.07333333333333335,0.79,0.98,0.7693844437599182,22.19
27,0.10371874710365578,0.3333742335637411,0.8950657587911576,0.07351851851851852,0.8166666666666667,0.9781481481481481,0.01495649665594101,23.45
28,0.10019396007723279,2.921631669362386,0.881779755378792,0.08074074074074075,0.7966666666666666,0.9748148148148148,0.999870777130127,21.18
29,0.09719398999655689,0.41625689872105914,0.8838828135678094,0.09314814814814812,0.81,0.9737037037037037,0.006710791029036045,23.17
30,0.08935523507992427,0.6139687247276306,0.9018374716473898,0.07740740740740742,0.77,0.9885185185185185,0.0006488421349786222,23.3
