ataque,n_validacao,recall,f1_vs_bonafide,media_prob_spoof,eer_vs_bonafide
A07,1846,1.0,0.5974,0.9215,0.1741
A08,1905,1.0,0.605,0.9679,0.0717
A09,1845,1.0,0.5973,0.9694,0.0755
A10,1886,1.0,0.6026,0.9027,0.2158
A11,1909,0.9995,0.6052,0.9056,0.2086
A12,1887,1.0,0.6027,0.897,0.224
A13,1938,1.0,0.6091,0.9409,0.1228
A14,1839,1.0,0.5965,0.9461,0.1276
A15,1835,1.0,0.596,0.9487,0.1179
A16,1957,0.9995,0.6112,0.8795,0.2731
A17,1849,1.0,0.5978,0.9277,0.1677
A18,1877,0.9995,0.6012,0.9174,0.1828
A19,1894,1.0,0.6036,0.903,0.2259
bonafide,2768,0.1012,,0.7342,
