ataque,n_validacao,recall,f1_vs_bonafide,media_prob_spoof,eer_vs_bonafide,limiar,escala_score
A07,1508,0.9967,0.8756,0.9913,0.0418,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A08,1589,0.9924,0.879,0.9888,0.0383,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A09,1477,1.0,0.875,0.9997,0.0116,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A10,1556,0.9685,0.8648,0.9403,0.1016,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A11,1544,0.9909,0.8753,0.9854,0.0526,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A12,1540,0.9838,0.8714,0.97,0.0726,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A13,1554,1.0,0.8805,0.9984,0.0196,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A14,1525,0.9967,0.8768,0.9913,0.0416,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A15,1532,0.9954,0.8767,0.9873,0.0493,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A16,1580,0.9367,0.8501,0.8997,0.1221,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A17,1545,0.9709,0.8653,0.9509,0.0863,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A18,1499,0.9907,0.872,0.9786,0.0632,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
A19,1555,0.9248,0.8422,0.8891,0.1287,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
bonafide,2222,0.8101,,0.1707,,0.325243,"probabilidade [0,1] (softmax(logits)[:, 1] = P(spoof))"
