ataque,n_validacao,recall,f1_vs_bonafide,media_prob_spoof,eer_vs_bonafide,limiar,escala_score
A07,1508,0.9741,0.7363,0.8745,0.1557,0.651568,"probabilidade [0,1] (predict_proba)"
A08,1589,0.9987,0.7577,0.923,0.0802,0.651568,"probabilidade [0,1] (predict_proba)"
A09,1477,0.9959,0.7427,0.9331,0.0794,0.651568,"probabilidade [0,1] (predict_proba)"
A10,1556,0.9518,0.7314,0.8574,0.1811,0.651568,"probabilidade [0,1] (predict_proba)"
A11,1544,0.9482,0.7282,0.8504,0.1927,0.651568,"probabilidade [0,1] (predict_proba)"
A12,1540,0.8896,0.6984,0.8092,0.2515,0.651568,"probabilidade [0,1] (predict_proba)"
A13,1554,0.9987,0.7536,0.9343,0.0628,0.651568,"probabilidade [0,1] (predict_proba)"
A14,1525,0.9934,0.7476,0.9066,0.0969,0.651568,"probabilidade [0,1] (predict_proba)"
A15,1532,0.9948,0.7491,0.9062,0.1021,0.651568,"probabilidade [0,1] (predict_proba)"
A16,1580,0.7266,0.6137,0.7362,0.3548,0.651568,"probabilidade [0,1] (predict_proba)"
A17,1545,0.9126,0.7107,0.8263,0.2196,0.651568,"probabilidade [0,1] (predict_proba)"
A18,1499,0.9199,0.7088,0.8018,0.2451,0.651568,"probabilidade [0,1] (predict_proba)"
A19,1555,0.8199,0.6635,0.765,0.314,0.651568,"probabilidade [0,1] (predict_proba)"
bonafide,2222,0.5441,,0.6282,,0.651568,"probabilidade [0,1] (predict_proba)"
