ataque,n_validacao,recall,f1_vs_bonafide,media_prob_spoof,eer_vs_bonafide,limiar,escala_score
A07,1508,0.9635,0.7831,2.0616,0.1378,-0.032942,"decision_function (real, centrado em zero)"
A08,1589,0.9887,0.8036,2.7572,0.0882,-0.032942,"decision_function (real, centrado em zero)"
A09,1477,0.9939,0.7946,3.3341,0.0617,-0.032942,"decision_function (real, centrado em zero)"
A10,1556,0.9287,0.7705,1.6987,0.1715,-0.032942,"decision_function (real, centrado em zero)"
A11,1544,0.9488,0.7795,1.8129,0.1633,-0.032942,"decision_function (real, centrado em zero)"
A12,1540,0.9195,0.7642,1.3992,0.1957,-0.032942,"decision_function (real, centrado em zero)"
A13,1554,0.9929,0.8022,2.7954,0.0849,-0.032942,"decision_function (real, centrado em zero)"
A14,1525,0.9921,0.7988,2.6971,0.0875,-0.032942,"decision_function (real, centrado em zero)"
A15,1532,0.983,0.7951,2.4565,0.0997,-0.032942,"decision_function (real, centrado em zero)"
A16,1580,0.8171,0.7131,0.8941,0.2598,-0.032942,"decision_function (real, centrado em zero)"
A17,1545,0.9806,0.7953,2.1716,0.1197,-0.032942,"decision_function (real, centrado em zero)"
A18,1499,0.9586,0.7797,2.0133,0.154,-0.032942,"decision_function (real, centrado em zero)"
A19,1555,0.9447,0.7785,1.6456,0.1641,-0.032942,"decision_function (real, centrado em zero)"
bonafide,2222,0.6625,,-0.413,,-0.032942,"decision_function (real, centrado em zero)"
