feature,pearson,spearman,pearson_n_frames_validos,no_top10_rf
mfcc1_std,-0.3203,-0.3738,-0.1404,True
mfcc1_media,0.2423,0.3382,-0.0364,True
mfcc19_media,-0.2421,-0.2499,0.0146,False
mfcc9_media,-0.1944,-0.1759,-0.0422,False
mfcc10_media,-0.1827,-0.162,-0.0551,False
mfcc9_std,0.1775,0.1528,0.0603,False
mfcc4_media,0.1554,0.1505,-0.0574,True
mfcc4_std,0.1545,0.1107,0.0222,True
mfcc20_media,-0.145,-0.1205,-0.0661,False
mfcc8_media,-0.1421,-0.1395,0.0101,True
mfcc11_media,-0.1272,-0.1204,-0.0042,False
mfcc5_std,0.125,0.0958,0.0556,True
mfcc13_media,-0.1233,-0.0986,0.0393,False
mfcc7_std,0.1116,0.0923,0.0803,False
mfcc2_media,0.1111,0.1443,-0.0057,True
mfcc5_media,-0.1033,-0.0806,0.027,False
mfcc16_media,-0.1014,-0.0982,0.0045,False
mfcc3_std,0.0982,0.025,0.0429,True
mfcc6_media,-0.0966,-0.0894,0.0067,False
mfcc18_media,-0.0927,-0.0977,-0.0416,False
mfcc6_std,0.0921,0.0473,0.0057,False
mfcc13_std,0.0875,0.0837,0.0299,False
mfcc17_media,-0.0863,-0.0628,-0.0629,False
mfcc17_std,0.0843,0.0875,0.0557,False
mfcc14_std,0.0771,0.0723,0.04,False
mfcc20_std,0.0747,0.0677,0.0656,False
mfcc2_std,-0.0741,-0.1064,0.056,False
mfcc18_std,0.074,0.0635,0.0702,False
mfcc16_std,0.073,0.0613,0.0006,True
mfcc10_std,0.0686,0.078,0.0248,False
mfcc7_media,-0.0684,-0.04,-0.0549,False
mfcc14_media,-0.068,-0.0531,-0.0172,False
mfcc12_media,-0.065,-0.0298,-0.0354,False
mfcc15_media,-0.0642,-0.0323,-0.0198,False
centroide_media,-0.0636,-0.0825,-0.0111,False
mfcc15_std,0.0511,0.0412,0.0437,False
zcr_media,-0.0467,-0.0657,0.0153,False
mfcc19_std,0.0436,0.0281,-0.0008,True
mfcc12_std,0.0421,0.0481,0.0704,False
centroide_std,0.038,0.0119,0.0607,False
zcr_std,0.0225,0.0063,0.0785,False
mfcc11_std,0.0218,0.0136,-0.0018,False
mfcc3_media,-0.0141,-0.0336,0.0432,False
mfcc8_std,0.0025,-0.0408,-0.0261,False
