feature,pearson,spearman,no_top10_rf
mfcc19_media,-0.2604,-0.2451,False
mfcc9_std,0.2423,0.2106,False
mfcc19_std,0.2301,0.2132,False
mfcc1_media,0.2252,0.2201,True
mfcc4_std,0.2185,0.1859,True
mfcc9_media,-0.2114,-0.1898,False
mfcc4_media,0.2025,0.1856,True
mfcc5_std,0.1999,0.1638,False
mfcc10_media,-0.1998,-0.1728,False
mfcc8_media,-0.1887,-0.1683,True
mfcc13_std,0.185,0.1648,False
mfcc17_std,0.1835,0.1606,False
mfcc7_std,0.1828,0.1542,False
mfcc16_std,0.1826,0.16,False
mfcc11_media,-0.1789,-0.1528,False
mfcc20_std,0.1788,0.1515,False
mfcc14_std,0.1776,0.146,False
mfcc2_media,0.1748,0.1657,False
mfcc18_std,0.1728,0.1471,True
mfcc6_std,0.1724,0.1332,False
mfcc20_media,-0.1713,-0.1365,False
mfcc13_media,-0.1705,-0.133,True
mfcc15_std,0.1644,0.1411,False
mfcc3_std,0.1615,0.1082,True
mfcc16_media,-0.1604,-0.1325,False
mfcc11_std,0.1596,0.1409,False
mfcc10_std,0.1574,0.1441,False
mfcc8_std,0.1563,0.1215,False
mfcc18_media,-0.1516,-0.1272,False
mfcc12_std,0.1343,0.1196,False
mfcc6_media,-0.1336,-0.113,False
mfcc17_media,-0.1262,-0.0804,False
mfcc14_media,-0.1073,-0.0663,False
mfcc5_media,-0.099,-0.0788,False
zcr_media,0.0857,0.0453,False
centroide_media,0.0819,0.0428,True
mfcc2_std,0.0805,0.0928,True
mfcc15_media,-0.0766,-0.0339,True
mfcc7_media,-0.061,-0.0261,False
mfcc3_media,-0.0543,-0.0581,False
zcr_std,0.0414,0.0095,False
mfcc12_media,-0.0355,-0.0086,False
mfcc1_std,0.0316,0.053,True
centroide_std,0.013,-0.0328,False
