feature,delta_medio,delta_relativo_pct,delta_medio_bonafide,delta_medio_spoof,assimetria_bona_menos_spoof,assimetria_padronizada
mfcc1_media,-135.441025,31.76,-129.782318,-136.069778,6.28746,0.0926
mfcc2_media,-59.8895,45.76,-56.826847,-60.229794,3.402946,0.106
mfcc3_media,8.391339,47.03,9.803099,8.234477,1.568622,0.1212
mfcc4_media,-21.139576,46.58,-18.574375,-21.424597,2.850222,0.2073
mfcc5_media,0.042503,46.99,-0.021223,0.049583,-0.070806,-0.0116
mfcc6_media,4.902174,46.56,4.330798,4.96566,-0.634862,-0.0857
mfcc7_media,-1.229225,46.66,-1.577462,-1.190532,-0.38693,-0.0586
mfcc8_media,8.644924,46.11,7.659191,8.754451,-1.09526,-0.1765
mfcc9_media,2.024894,46.19,1.537676,2.07903,-0.541353,-0.1467
mfcc10_media,1.025832,46.49,1.02358,1.026082,-0.002503,-0.0007
mfcc11_media,5.026476,46.36,4.791832,5.052548,-0.260716,-0.0599
mfcc12_media,-1.733636,46.45,-1.567333,-1.752114,0.184782,0.0514
mfcc13_media,2.306245,46.86,2.098471,2.329332,-0.230861,-0.0918
mfcc14_media,2.030061,46.19,1.877303,2.047034,-0.169732,-0.0493
mfcc15_media,1.025926,46.17,0.647937,1.067925,-0.419988,-0.1165
mfcc16_media,4.439513,45.82,4.258782,4.459595,-0.200813,-0.0549
mfcc17_media,1.806015,45.6,1.733176,1.814108,-0.080932,-0.0283
mfcc18_media,2.006741,46.21,1.879151,2.020917,-0.141766,-0.069
mfcc19_media,4.446144,46.02,4.325324,4.459569,-0.134245,-0.0499
mfcc20_media,1.109666,45.74,1.192261,1.100488,0.091773,0.0421
mfcc1_std,37.826717,31.77,31.308416,38.550976,-7.242559,-0.2914
mfcc2_std,11.659122,23.5,10.305902,11.809481,-1.503578,-0.095
mfcc3_std,-9.411576,21.75,-8.520037,-9.510635,0.990599,0.1542
mfcc4_std,-0.780037,12.17,-1.06094,-0.748826,-0.312114,-0.0591
mfcc5_std,-5.653051,24.36,-5.323381,-5.689681,0.3663,0.1042
mfcc6_std,-4.022679,19.93,-4.121212,-4.011731,-0.109481,-0.0358
mfcc7_std,-3.159932,20.15,-2.825939,-3.197042,0.371103,0.141
mfcc8_std,-2.146816,14.97,-2.668193,-2.088884,-0.579309,-0.2006
mfcc9_std,-3.485129,23.65,-3.41879,-3.4925,0.07371,0.0356
mfcc10_std,-3.109433,23.77,-2.956649,-3.126408,0.16976,0.0852
mfcc11_std,-1.696206,16.62,-1.98568,-1.664042,-0.321638,-0.1611
mfcc12_std,-2.533034,21.82,-2.518568,-2.534641,0.016073,0.0097
mfcc13_std,-2.219461,22.12,-2.406124,-2.19872,-0.207404,-0.1402
mfcc14_std,-1.761182,19.73,-2.052831,-1.728776,-0.324054,-0.2289
mfcc15_std,-1.828956,20.87,-1.841714,-1.827538,-0.014176,-0.01
mfcc16_std,-1.015093,15.77,-1.223836,-0.9919,-0.231937,-0.1364
mfcc17_std,-1.616618,20.79,-1.757927,-1.600917,-0.15701,-0.1203
mfcc18_std,-1.647179,21.22,-1.707469,-1.64048,-0.066988,-0.0586
mfcc19_std,-0.557913,12.22,-0.768102,-0.534558,-0.233544,-0.1936
mfcc20_std,-1.758778,23.01,-1.778551,-1.756581,-0.021971,-0.0187
zcr_media,-0.051945,45.63,-0.053446,-0.051778,-0.001668,-0.0555
zcr_std,-0.014339,13.69,-0.01114,-0.014695,0.003555,0.2065
centroide_media,-578.926453,45.4,-612.510925,-575.194763,-37.316162,-0.1144
centroide_std,31.45336,11.58,85.623985,25.434399,60.189587,0.5194
