mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_eer,std_test_eer,rank_test_eer,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
61.22496337890625,1.2135278617673024,0.815529727935791,0.02484669114003391,balanced,30,sqrt,19,10,500,"{'class_weight': 'balanced', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 19, 'min_samples_split': 10, 'n_estimators': 500}",-0.21624074074074073,0.01006692284305986,15,0.8626830246913579,0.009912116737752455,15
78.74855618476867,1.8902033359434238,0.7781216621398925,0.06386173020090796,balanced,,0.3,14,10,300,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 14, 'min_samples_split': 10, 'n_estimators': 300}",-0.21774074074074073,0.008527692322731043,17,0.861897160493827,0.009476515456585392,17
26.403086280822755,0.8349079307247406,0.33685789108276365,0.28680832275303725,balanced,20,sqrt,8,10,200,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",-0.21500000000000002,0.007992838014973615,13,0.8655866666666666,0.011201088320724183,9
45.80756692886352,1.0698361917343366,0.21260833740234375,0.019588553983659787,balanced,10,log2,10,5,500,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 500}",-0.23574074074074075,0.008929498286205503,24,0.8435980864197529,0.009238719707324919,23
26.988096618652342,0.8802039246944944,0.10639767646789551,0.015122097086734296,balanced_subsample,,sqrt,16,5,200,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 5, 'n_estimators': 200}",-0.22048148148148144,0.011220357992083301,20,0.861820987654321,0.010579966843391138,19
41.38132700920105,0.7101432010370923,0.16457371711730956,0.004791084983205637,balanced,30,sqrt,5,10,300,"{'class_weight': 'balanced', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",-0.20587037037037037,0.011725980908132485,1,0.8725435802469136,0.009543856817705615,2
65.73840980529785,0.9992853786406535,0.12330641746520996,0.013150785973967311,balanced,10,0.3,18,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 18, 'min_samples_split': 5, 'n_estimators': 300}",-0.23875925925925925,0.0064357114093398565,30,0.8398925308641975,0.008411222379589956,29
83.47682437896728,2.4518926012778017,0.16399698257446288,0.025247416558917282,balanced_subsample,20,0.3,8,2,300,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 300}",-0.2157592592592593,0.008089095778116655,14,0.8628703086419753,0.00869612524544165,14
82.0981526851654,2.449618215579273,0.15927505493164062,0.010036657099209697,balanced,20,0.3,9,2,300,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 0.3, 'min_samples_leaf': 9, 'min_samples_split': 2, 'n_estimators': 300}",-0.2142777777777778,0.0099560763752657,10,0.8629858641975309,0.010283659282551063,13
26.73851842880249,0.8687640477390773,0.09766683578491211,0.0075608323355664695,balanced_subsample,30,sqrt,16,5,200,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 5, 'n_estimators': 200}",-0.2189074074074074,0.010422224854562841,18,0.8618235802469136,0.010623153607555978,18
58.939622449874875,1.483536074446826,0.26750569343566893,0.015459002177153106,balanced_subsample,,log2,9,5,500,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 5, 'n_estimators': 500}",-0.20762962962962966,0.009614232705085978,3,0.870437901234568,0.009905521456973007,4
131.54913744926452,2.4626501303155535,0.2510377407073975,0.018528910009744548,balanced_subsample,20,0.3,16,2,500,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 0.3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 500}",-0.22077777777777774,0.006442901049752338,21,0.8600692592592593,0.008857731811306394,21
58.24480414390564,1.0093306397266995,0.2929851055145264,0.030626956005169657,balanced,20,log2,5,5,500,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",-0.21233333333333332,0.010479812718878658,6,0.8670349999999999,0.009811297717140992,6
19.362530183792114,0.707813610463374,0.09930214881896973,0.011168312209403295,balanced_subsample,10,log2,10,5,200,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200}",-0.23738888888888887,0.00952856509722588,27,0.8411222839506174,0.009343391767586516,27
22.13248167037964,1.1906397257396504,0.08320426940917969,0.00518598980620133,balanced_subsample,10,sqrt,19,5,200,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 19, 'min_samples_split': 5, 'n_estimators': 200}",-0.23683333333333337,0.007775440565943079,26,0.8427701851851852,0.00979378202660738,24
27.85816807746887,0.6154035250508253,0.1477207660675049,0.02590541724128471,balanced_subsample,10,log2,18,5,300,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 5, 'n_estimators': 300}",-0.23574074074074075,0.008059066923086161,24,0.8426283950617284,0.009348856214583515,25
22.15995798110962,0.7114820296178397,0.10991573333740234,0.0100013774165983,balanced_subsample,20,log2,11,2,200,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 2, 'n_estimators': 200}",-0.21457407407407408,0.0077893652660717665,11,0.8650411111111111,0.009858582207075616,11
14.137581205368042,0.6659002427078887,0.06105265617370605,0.006627043311058509,balanced_subsample,,sqrt,6,10,100,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 10, 'n_estimators': 100}",-0.2127222222222222,0.007906908649375854,8,0.8658562962962962,0.011485904938411702,8
10.8608314037323,0.3574650573164957,0.04258651733398437,0.0015610579309566419,balanced_subsample,10,sqrt,16,2,100,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 100}",-0.23777777777777773,0.010062391101405317,28,0.8406262962962963,0.010070466843511981,28
41.09612770080567,0.5952539371924624,0.16302084922790527,0.018639485536389947,balanced,20,sqrt,5,2,300,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",-0.2129259259259259,0.009858324245392706,9,0.8660349999999999,0.009092985103376704,7
37.77347941398621,1.9205913221808122,0.1523275375366211,0.016928496734461614,balanced,30,sqrt,16,10,300,"{'class_weight': 'balanced', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 10, 'n_estimators': 300}",-0.2202962962962963,0.008821775962840252,19,0.8626485802469135,0.009929744884462398,16
84.20766477584839,1.2687617976496848,0.15639286041259765,0.011642995494887167,balanced,,0.3,7,2,300,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 7, 'min_samples_split': 2, 'n_estimators': 300}",-0.2111296296296296,0.008384697669377168,5,0.8674971604938273,0.009102054811044842,5
112.0320083141327,4.060948828302252,0.23811073303222657,0.04877384416082401,balanced,10,0.3,14,2,500,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 14, 'min_samples_split': 2, 'n_estimators': 500}",-0.23779629629629628,0.00660890615787261,29,0.8397188888888889,0.00811232327272951,30
36.58903307914734,2.1488307821138335,0.17958145141601561,0.020275014444300677,balanced,,log2,5,10,300,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",-0.2091111111111111,0.005678757374845244,4,0.8738111728395062,0.009746047243729105,1
42.44328508377075,1.5162352069351348,0.17639284133911132,0.016524674343621877,balanced_subsample,30,sqrt,7,5,300,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 5, 'n_estimators': 300}",-0.2061481481481482,0.009553581478545901,2,0.8709733333333334,0.009473767487566589,3
56.77108931541443,1.135580688101724,0.11896753311157227,0.03323059481053642,balanced,,0.3,9,10,200,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 9, 'min_samples_split': 10, 'n_estimators': 200}",-0.21487037037037035,0.007220465123389189,12,0.865237160493827,0.010492857665092075,10
38.6655837059021,1.3885970604366455,0.15894732475280762,0.02397580352983781,balanced,,sqrt,14,10,300,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 14, 'min_samples_split': 10, 'n_estimators': 300}",-0.2126851851851852,0.010323305900669263,7,0.8645937037037037,0.010236703584374656,12
79.03627076148987,2.880004189604742,0.12627367973327636,0.00956427582516856,balanced_subsample,20,0.3,13,10,300,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 0.3, 'min_samples_leaf': 13, 'min_samples_split': 10, 'n_estimators': 300}",-0.2169814814814815,0.008423911033000457,16,0.8612911728395062,0.008908002466798293,20
55.519789934158325,2.434907658208252,0.17038507461547853,0.01155096800278483,balanced_subsample,10,sqrt,7,10,500,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 500}",-0.2354444444444444,0.008163159572815418,23,0.8420222222222222,0.009511217542720135,26
12.303534030914307,0.7210665149676178,0.05037188529968262,0.00572705109358298,balanced,,sqrt,20,5,100,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 100}",-0.22114814814814815,0.010415839473328891,22,0.8591812345679012,0.010510876658773744,22
