estrato (classe|codec|ataque),n_treino_completo,pct_treino_completo,n_subamostra,pct_subamostra,delta_pct
0|alaw|bonafide,1321,1.2736,382,1.2733,-0.0003
0|g722|bonafide,1352,1.3035,391,1.3033,-0.0002
0|gsm|bonafide,1652,1.5927,478,1.5933,0.0006
0|none|bonafide,1361,1.3121,394,1.3133,0.0012
0|opus|bonafide,1642,1.5831,475,1.5833,0.0002
0|pstn|bonafide,1344,1.2958,389,1.2967,0.0009
0|ulaw|bonafide,1699,1.638,491,1.6367,-0.0013
1|alaw|A07,934,0.9005,270,0.9,-0.0005
1|alaw|A08,964,0.9294,279,0.93,0.0006
1|alaw|A09,909,0.8764,263,0.8767,0.0003
1|alaw|A10,978,0.9429,283,0.9433,0.0004
1|alaw|A11,946,0.912,274,0.9133,0.0013
1|alaw|A12,934,0.9005,270,0.9,-0.0005
1|alaw|A13,974,0.939,282,0.94,0.001
1|alaw|A14,947,0.913,274,0.9133,0.0003
1|alaw|A15,960,0.9255,278,0.9267,0.0012
1|alaw|A16,945,0.9111,273,0.91,-0.0011
1|alaw|A17,967,0.9323,280,0.9333,0.001
1|alaw|A18,902,0.8696,261,0.87,0.0004
1|alaw|A19,949,0.9149,274,0.9133,-0.0016
1|g722|A07,941,0.9072,272,0.9067,-0.0005
1|g722|A08,965,0.9304,279,0.93,-0.0004
1|g722|A09,939,0.9053,272,0.9067,0.0014
1|g722|A10,898,0.8658,260,0.8667,0.0009
1|g722|A11,926,0.8928,268,0.8933,0.0005
1|g722|A12,933,0.8995,270,0.9,0.0005
1|g722|A13,913,0.8802,264,0.88,-0.0002
1|g722|A14,945,0.9111,273,0.91,-0.0011
1|g722|A15,969,0.9342,280,0.9333,-0.0009
1|g722|A16,914,0.8812,264,0.88,-0.0012
1|g722|A17,939,0.9053,272,0.9067,0.0014
1|g722|A18,937,0.9034,271,0.9033,-0.0001
1|g722|A19,942,0.9082,272,0.9067,-0.0015
1|gsm|A07,1124,1.0837,325,1.0833,-0.0004
1|gsm|A08,1168,1.1261,338,1.1267,0.0006
1|gsm|A09,1163,1.1213,336,1.12,-0.0013
1|gsm|A10,1157,1.1155,335,1.1167,0.0012
1|gsm|A11,1126,1.0856,326,1.0867,0.0011
1|gsm|A12,1172,1.1299,339,1.13,0.0001
1|gsm|A13,1130,1.0894,327,1.09,0.0006
1|gsm|A14,1179,1.1367,341,1.1367,0.0
1|gsm|A15,1124,1.0837,325,1.0833,-0.0004
1|gsm|A16,1158,1.1164,335,1.1167,0.0003
1|gsm|A17,1117,1.0769,323,1.0767,-0.0002
1|gsm|A18,1160,1.1184,335,1.1167,-0.0017
1|gsm|A19,1095,1.0557,317,1.0567,0.001
1|none|A07,954,0.9198,276,0.92,0.0002
1|none|A08,963,0.9284,278,0.9267,-0.0017
1|none|A09,926,0.8928,268,0.8933,0.0005
1|none|A10,957,0.9226,277,0.9233,0.0007
1|none|A11,959,0.9246,277,0.9233,-0.0013
1|none|A12,954,0.9198,276,0.92,0.0002
1|none|A13,970,0.9352,281,0.9367,0.0015
1|none|A14,925,0.8918,267,0.89,-0.0018
1|none|A15,966,0.9313,279,0.93,-0.0013
1|none|A16,967,0.9323,280,0.9333,0.001
1|none|A17,926,0.8928,268,0.8933,0.0005
1|none|A18,931,0.8976,269,0.8967,-0.0009
1|none|A19,954,0.9198,276,0.92,0.0002
1|opus|A07,1120,1.0798,324,1.08,0.0002
1|opus|A08,1152,1.1107,333,1.11,-0.0007
1|opus|A09,1139,1.0981,329,1.0967,-0.0014
1|opus|A10,1148,1.1068,332,1.1067,-0.0001
1|opus|A11,1162,1.1203,336,1.12,-0.0003
1|opus|A12,1121,1.0808,324,1.08,-0.0008
1|opus|A13,1144,1.1029,331,1.1033,0.0004
1|opus|A14,1116,1.0759,323,1.0767,0.0008
1|opus|A15,1135,1.0943,328,1.0933,-0.001
1|opus|A16,1132,1.0914,327,1.09,-0.0014
1|opus|A17,1105,1.0653,320,1.0667,0.0014
1|opus|A18,1130,1.0894,327,1.09,0.0006
1|opus|A19,1152,1.1107,333,1.11,-0.0007
1|pstn|A07,930,0.8966,269,0.8967,0.0001
1|pstn|A08,932,0.8985,270,0.9,0.0015
1|pstn|A09,924,0.8908,267,0.89,-0.0008
1|pstn|A10,936,0.9024,271,0.9033,0.0009
1|pstn|A11,936,0.9024,271,0.9033,0.0009
1|pstn|A12,944,0.9101,273,0.91,-0.0001
1|pstn|A13,938,0.9043,271,0.9033,-0.001
1|pstn|A14,943,0.9092,273,0.91,0.0008
1|pstn|A15,960,0.9255,278,0.9267,0.0012
1|pstn|A16,944,0.9101,273,0.91,-0.0001
1|pstn|A17,919,0.886,266,0.8867,0.0007
1|pstn|A18,938,0.9043,271,0.9033,-0.001
1|pstn|A19,909,0.8764,263,0.8767,0.0003
1|ulaw|A07,1135,1.0943,328,1.0933,-0.001
1|ulaw|A08,1131,1.0904,327,1.09,-0.0004
1|ulaw|A09,1124,1.0837,325,1.0833,-0.0004
1|ulaw|A10,1139,1.0981,329,1.0967,-0.0014
1|ulaw|A11,1122,1.0817,324,1.08,-0.0017
1|ulaw|A12,1110,1.0702,321,1.07,-0.0002
1|ulaw|A13,1126,1.0856,326,1.0867,0.0011
1|ulaw|A14,1121,1.0808,324,1.08,-0.0008
1|ulaw|A15,1130,1.0894,327,1.09,0.0006
1|ulaw|A16,1185,1.1425,343,1.1433,0.0008
1|ulaw|A17,1159,1.1174,335,1.1167,-0.0007
1|ulaw|A18,1129,1.0885,327,1.09,0.0015
1|ulaw|A19,1137,1.0962,329,1.0967,0.0005
